Gender,Above 21,Age,Visit Frequency,Location,Trait: Social person,Trait: Active lifestyle,Trait: Drink quality important,Trait: Like finding new things,Taproom Features,Rank: Drink selection,Rank: Ability to do other things aside from drink,Rank: Social interactions with other customers,Rank: Casual conversations with employees,Rank: Networking with other professionals,Rank: Price,Rank: Earning loyalty rewards,Rank: Location,Hesitations,Interaction Factors,Ideal Features,Primary Reason,Consistency Importance,Experience: Themed events,Experience: Social activities,Experience: Community events,Experience: Interactive experiences,Experience: Unique events,Experience: Consistent environment,Community Focus,Return Factor,Live Music Interest,Positive Music Elements,Snack Importance,Snack Order Frequency,Snack Stay Longer,Snack Type Preference,Pairing Interest,AI Consultation,AI Trust,AI Assistant Interest,AI Valuable Features,Segment,Live Music Rating,AI Satisfaction,Preventing Reasons,Negative Music Factors
Female,Yes,75,At least once a month,Less than 10 minutes away,3,3,3,3,"['Friendly staff', 'Easy to socialize with other customers', 'Easy to network with other professionals']",2,5,3,1,4,6,7,8,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program', 'No food']",['Group activities to do with others present'],"['Friendliness of staff', 'Games available', 'Variety of food options', 'Live music', 'Happy hour specials']",To meet new people,Somewhat important – I like a balance of new and familiar elements,3,3,3,3,3,3,"Yes, I value community-focused experiences",Have friendlier staff and better service,Yes; I have attended before,"['Variety of performers', 'Atmosphere and venue ambiance', 'Social experience and opportunity to meet new people']",Very Important,Sometimes,Neutral,"['Sweets', 'Cold Bites']",Maybe,No,Not at all,Not interested,Personalized beer recommendations based on my taste preferences,Retirees,Excellent,,,
Female,Yes,29,At least once a year,More than 30 minutes away,4,3,3,4,"['Pool table', 'Karaoke available', 'Darts', 'Easy to socialize with other customers']",1,2,3,5,6,4,8,7,"['Poor customer service', 'No music', 'No food']","['Good music playing', 'Joining a game', 'Friendliness of staff', 'Group activities to do with others present']","['Live music', 'Happy hour specials']",To meet new people,Somewhat important – I like a balance of new and familiar elements,4,3,3,4,4,1,"Yes, I value community-focused experiences",Have friendlier staff and better service,"Yes, I haven't attended yet but I'm interested.","['Quality of live music performances', 'Being a fan of the band or specific artists performing']",Very Important,Most of the time,Very Likely,"['Cold Bites', 'Sweets']",Yes,No,A little,Not interested,Information about upcoming events and special releases,Summer Tourists,,,,
Male,Yes,32,At least once a week,Less than 10 minutes away,3,4,4,4,"['Pool table', 'Karaoke available', 'Darts', 'Loyalty program']",1,3,2,5,4,6,7,8,"['Difficult to talk to others in the taproom', 'Poor customer service']","['Good music playing', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Outdoor seating', 'Live music', 'Happy hour specials']",To socialize with friends/family,Not important – I prefer a unique experience each time,4,3,3,4,4,1,"Maybe, if the event aligns with my interests",Offer a wider selection of craft beers,Yes; I have attended before,,Not at all important,Sometimes,Very Likely,"['Cold Bites', 'Pre-packaged Snacks']",Maybe,Yes,A moderate amount,Extremely interested,Wait time estimates for busy periods,Craft Beer Enthusiasts,Neutral,Loved it,,
Male,Yes,46,At least once a week,Less than 10 minutes away,3,3,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Loyalty program', 'Easy to network with other professionals']",1,2,4,3,6,5,7,8,"['Difficult to talk to others in the taproom', 'Poor customer service', 'No food']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff']","['Outdoor seating', 'Happy hour specials', 'Large TV screens for sports games']",To attend special events,Not important – I prefer a unique experience each time,4,3,3,4,4,1,"Maybe, if the event aligns with my interests",Have live music more often,"Yes, I haven't attended yet but I'm interested.","['Being a fan of the band or specific artists performing', 'Atmosphere and venue ambiance']",Slightly important,Rarely,Neutral,"['Warm-prepared Snacks', 'Cold Bites']",No,No,A lot,Moderately interested,Ability to reserve tables or event tickets,Affluent Locals,,,,
Female,Yes,74,At least once a year,Between 10 and 30 minutes,3,3,3,3,"['Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,2,4,3,5,6,8,7,"['Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program']","['Being introduced by someone else', 'Friendliness of staff']","['Friendliness of staff', 'Easy to socialize with others', 'Outdoor seating', 'Live music', 'Happy hour specials']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,3,3,3,3,2,2,"Yes, I value community-focused experiences",Have more frequent events or special nights,"Yes, I haven't attended yet but I'm interested.","['High quality of drinks', 'Special promotions or discounts during the event']",Moderately Important,Most of the time,Neutral,"['Pre-packaged Snacks', 'Warm-prepared Snacks']",Yes,No,A lot,Moderately interested,Updates on specials or happy hours,Retirees,,,,
Female,Yes,25,At least once a month,Between 10 and 30 minutes,4,4,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Easy to network with other professionals']",1,2,3,4,6,5,8,7,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'No rewards program', 'No music']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Outdoor seating', 'Live music']",To try new and unique craft beers,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"Yes, I value community-focused experiences",Have live music more often,Yes; I have attended before,"['Being a fan of the band or specific artists performing', 'Being a fan of the band or specific artists performing', 'Convenience of timing', 'Atmosphere and venue ambiance']",Moderately Important,Most of the time,Very Likely,"['Warm-prepared Snacks', 'Pre-packaged Snacks', 'Cold Bites']",Maybe,No,A great deal,Moderately interested,Information about seasonal or limited edition brews,Young Professionals,Excellent,,,
Male,Yes,28,At least once a year,Between 10 and 30 minutes,4,3,3,4,"['Pool table', 'Friendly staff', 'Easy to socialize with other customers', 'Easy to network with other professionals']",1,3,2,4,6,5,8,7,['No food'],"['Joining a game', 'Friendliness of staff']","['Friendliness of staff', 'Games available', 'Variety of food options', 'Outdoor seating']",To relax and unwind,Not important – I prefer a unique experience each time,4,4,4,4,4,1,"Maybe, if the event aligns with my interests",Extend happy hour specials,Yes; I have attended before,"['Social experience and opportunity to meet new people', 'Convenience of timing', 'Special promotions or discounts during the event', 'High quality of drinks', 'Atmosphere and venue ambiance']",Extremely Important,Sometimes,Neutral,"['Warm-prepared Snacks', 'Pre-packaged Snacks', 'Cold Bites']",Yes,Yes,A lot,Slightly interested,Beer pairing suggestions for food items,Summer Tourists,Excellent,Neutral,,
Male,Yes,84,At least once a week,Between 10 and 30 minutes,3,3,3,3,"['Friendly staff', 'Easy to network with other professionals']",2,3,4,1,5,8,7,6,"['Poor customer service', 'No music', 'No food']",['Friendliness of staff'],"['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Happy hour specials']",To try new and unique craft beers,Important – I prefer a familiar experience,3,3,4,3,2,2,"Maybe, if the event aligns with my interests",Extend happy hour specials,"No, I'm not interested.",,Moderately Important,Sometimes,Neutral,"['Warm-prepared Snacks', 'Sweets', 'Cold Bites']",Yes,No,A lot,Not interested,Personalized beer recommendations based on my taste preferences,Retirees,,,['Scheduling conflicts'],
Male,Yes,28,At least once a week,Between 10 and 30 minutes,4,3,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,3,2,4,7,5,6,8,[],"['Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Outdoor seating', 'Live music', 'Happy hour specials', 'Large TV screens for sports games']",To try new and unique craft beers,Not important – I prefer a unique experience each time,5,4,3,4,4,1,"Maybe, if the event aligns with my interests",Have live music more often,"Yes, I haven't attended yet but I'm interested.","['Atmosphere and venue ambiance', 'Social experience and opportunity to meet new people']",Slightly important,Sometimes,Very Likely,"['Cold Bites', 'Sweets', 'Warm-prepared Snacks', 'Pre-packaged Snacks']",No,No,A lot,Very interested,Ability to reserve tables or event tickets,Young Professionals,,,,
Male,Yes,49,At least once a year,Between 10 and 30 minutes,4,3,3,4,"['Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,4,2,3,7,5,8,6,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program']","['Being introduced by someone else', 'Good music playing']","['Games available', 'Easy to socialize with others', 'Live music', 'Happy hour specials']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,4,4,3,4,4,2,"Maybe, if the event aligns with my interests",Have more frequent events or special nights,Yes; I have attended before,"['Quality of live music performances', 'High quality of food', 'Social experience and opportunity to meet new people', 'High quality of drinks', 'Social experience and opportunity to meet new people']",Extremely Important,Rarely,Very Likely,"['Sweets', 'Warm-prepared Snacks', 'Pre-packaged Snacks']",Maybe,No,A moderate amount,Very interested,Updates on specials or happy hours,Summer Tourists,Excellent,,,
Male,Yes,60,At least once a month,Less than 10 minutes away,3,4,4,4,"['Card games', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Easy to network with other professionals']",1,4,2,3,5,6,8,7,['Difficult to talk to others in the taproom'],"['Being introduced by someone else', 'Good music playing', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Outdoor seating', 'Happy hour specials']",To socialize with friends/family,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"No, I attend for other reasons",Offer more unique or experimental brews,"Yes, I haven't attended yet but I'm interested.","['Being a fan of the band or specific artists performing', 'High quality of food', 'High quality of food', 'Social experience and opportunity to meet new people']",Moderately Important,Rarely,Unlikely,"['Sweets', 'Cold Bites', 'Warm-prepared Snacks']",Yes,Yes,A lot,Moderately interested,Answers to questions about brewing processes and ingredients,Affluent Locals,,Loved it,,
Female,Yes,47,At least once a week,Between 10 and 30 minutes,3,3,4,4,"['Pool table', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program']",1,2,3,4,6,7,5,8,"['Not having someone to go with', 'Poor customer service', 'No music']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating']",To try new and unique craft beers,Not important – I prefer a unique experience each time,4,4,3,4,5,1,"Maybe, if the event aligns with my interests",Extend happy hour specials,"No, I'm not interested.",,Slightly important,Rarely,Unlikely,['Cold Bites'],Yes,No,A moderate amount,Very interested,Answers to questions about brewing processes and ingredients,Craft Beer Enthusiasts,,,"['Poor past experiences with similar events', 'Unfamiliarity with the performers or event lineup']",
Female,Yes,63,At least once a year,More than 30 minutes away,4,3,3,4,"['Card games', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Easy to network with other professionals']",1,4,3,2,6,5,8,7,"['Poor customer service', 'No music', 'No food']","['Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Variety of food options', 'Live music', 'Happy hour specials']",To relax and unwind,Somewhat important – I like a balance of new and familiar elements,4,4,3,4,3,2,"Yes, I value community-focused experiences",Offer more unique or experimental brews,"Yes, I haven't attended yet but I'm interested.","['Convenience of location', 'Quality of live music performances', 'High quality of drinks', 'Social experience and opportunity to meet new people', 'Quality of live music performances']",Moderately Important,Most of the time,Likely,"['Pre-packaged Snacks', 'Cold Bites', 'Sweets']",Maybe,No,A lot,Very interested,Updates on specials or happy hours,Summer Tourists,,,,
Male,Yes,25,At least once a month,Less than 10 minutes away,3,3,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,2,3,4,5,6,8,7,"['Poor customer service', 'No food']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff']","['Friendliness of staff', 'Easy to socialize with others', 'Outdoor seating', 'Live music']",To try new and unique craft beers,Not important – I prefer a unique experience each time,4,3,3,4,5,1,"Maybe, if the event aligns with my interests",Offer more unique or experimental brews,"Yes, I haven't attended yet but I'm interested.","['Variety of performers', 'High quality of food', 'Quality of live music performances', 'High quality of food', 'High quality of drinks']",Moderately Important,Sometimes,Likely,"['Pre-packaged Snacks', 'Sweets']",Maybe,No,A great deal,Very interested,Beer pairing suggestions for food items,Craft Beer Enthusiasts,,,,
Male,Yes,33,At least once a month,Between 10 and 30 minutes,3,4,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,4,3,2,6,7,8,5,['No rewards program'],"['Good music playing', 'Joining a game', 'Group activities to do with others present']","['Games available', 'Variety of food options', 'Outdoor seating']",To socialize with friends/family,Important – I prefer a familiar experience,3,4,3,3,4,2,"No, I attend for other reasons",Offer a wider selection of craft beers,Yes; I have attended before,"['High quality of food', 'Special promotions or discounts during the event']",Slightly important,Most of the time,Very Likely,"['Warm-prepared Snacks', 'Pre-packaged Snacks']",Yes,No,A little,Very interested,History and background of the brewery,Affluent Locals,Excellent,,,
Female,Yes,28,At least once a year,More than 30 minutes away,3,3,3,3,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,3,2,4,6,5,8,7,"['Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program', 'No music']",['Group activities to do with others present'],"['Friendliness of staff', 'Games available', 'Live music', 'Happy hour specials']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,4,3,3,3,4,2,"Yes, I value community-focused experiences",Have live music more often,"Yes, I haven't attended yet but I'm interested.","['High quality of food', 'Convenience of timing', 'High quality of drinks', 'Social experience and opportunity to meet new people', 'High quality of drinks']",Moderately Important,Sometimes,Neutral,"['Warm-prepared Snacks', 'Cold Bites', 'Pre-packaged Snacks']",Yes,No,A moderate amount,Slightly interested,Beer pairing suggestions for food items,Day Trippers,,,,
Female,Yes,62,At least once a year,More than 30 minutes away,4,3,3,4,"['Pool table', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program']",1,3,2,4,5,6,7,8,[],"['Good music playing', 'Playing competitive trivia', 'Friendliness of staff']","['Friendliness of staff', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,4,4,3,4,4,2,"Maybe, if the event aligns with my interests",Have friendlier staff and better service,"Yes, I haven't attended yet but I'm interested.","['High quality of food', 'Special promotions or discounts during the event', 'High quality of food', 'Social experience and opportunity to meet new people']",Very Important,Sometimes,Unlikely,"['Sweets', 'Pre-packaged Snacks']",Maybe,No,A great deal,Not interested,Local transportation options and directions,Summer Tourists,,,,
Male,Yes,66,At least once a month,Between 10 and 30 minutes,3,3,3,3,"['Friendly staff', 'Easy to socialize with other customers']",1,6,3,2,5,4,8,7,"['Difficult to talk to others in the taproom', 'Poor customer service']",['Being introduced by someone else'],"['Friendliness of staff', 'Easy to socialize with others', 'Outdoor seating']",To try new and unique craft beers,Important – I prefer a familiar experience,3,3,4,2,3,2,"Maybe, if the event aligns with my interests",Have friendlier staff and better service,"Yes, I haven't attended yet but I'm interested.","['Special promotions or discounts during the event', 'High quality of drinks', 'Atmosphere and venue ambiance', 'Convenience of timing']",Slightly important,Sometimes,Neutral,"['Sweets', 'Warm-prepared Snacks', 'Cold Bites']",Maybe,Yes,A lot,Very interested,Ability to reserve tables or event tickets,Retirees,,Somewhat satisfied,,
Male,Yes,47,At least once a year,Between 10 and 30 minutes,4,3,3,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Loyalty program']",1,2,3,4,6,5,8,7,"['Difficult to talk to others in the taproom', 'No rewards program', 'No music', 'No food']","['Good music playing', 'Joining a game', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Outdoor seating', 'Live music', 'Happy hour specials']",To relax and unwind,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"No, I attend for other reasons",Offer more unique or experimental brews,Yes; I have attended before,"['Special promotions or discounts during the event', 'Social experience and opportunity to meet new people', 'Being a fan of the band or specific artists performing', 'Quality of live music performances', 'Quality of live music performances']",Moderately Important,Everytime,Very Likely,"['Cold Bites', 'Warm-prepared Snacks', 'Pre-packaged Snacks']",Maybe,Yes,A moderate amount,Slightly interested,History and background of the brewery,Summer Tourists,Good,Very satisfied,,
Female,Yes,47,At least once a month,Between 10 and 30 minutes,3,4,4,4,"['Pool table', 'Karaoke available', 'Darts', 'Easy to socialize with other customers', 'Loyalty program']",1,2,4,3,6,5,7,8,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'No rewards program', 'No music']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff']","['Friendliness of staff', 'Variety of food options', 'Outdoor seating', 'Happy hour specials']",To try new and unique craft beers,Not important – I prefer a unique experience each time,4,3,3,4,4,2,"Yes, I value community-focused experiences",Have friendlier staff and better service,"Yes, I haven't attended yet but I'm interested.","['Being a fan of the band or specific artists performing', 'Being a fan of the band or specific artists performing', 'Being a fan of the band or specific artists performing']",Slightly important,Everytime,Likely,['Sweets'],Yes,No,A lot,Moderately interested,Beer pairing suggestions for food items,Affluent Locals,,,,
Female,Yes,44,At least once a month,Between 10 and 30 minutes,4,4,3,2,"['Pool table', 'Card games', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",3,4,1,2,6,5,8,7,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'Poor customer service', 'No food']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Happy hour specials']",To try new and unique craft beers,Somewhat important – I like a balance of new and familiar elements,2,4,4,3,2,3,"Maybe, if the event aligns with my interests",Extend happy hour specials,"Yes, I haven't attended yet but I'm interested.","['Convenience of timing', 'High quality of food']",Extremely Important,Most of the time,Very Likely,"['Warm-prepared Snacks', 'Sweets']",Maybe,No,A little,Moderately interested,Information about seasonal or limited edition brews,Event Attendees,,,,
Female,Yes,64,At least once a year,Between 10 and 30 minutes,3,3,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Loyalty program', 'Easy to network with other professionals']",1,3,2,4,7,5,6,8,"['Not having someone to go with', 'Difficult to talk to others in the taproom', 'Poor customer service']","['Good music playing', 'Playing competitive trivia', 'Friendliness of staff']","['Friendliness of staff', 'Easy to socialize with others', 'Outdoor seating', 'Live music', 'Happy hour specials', 'Large TV screens for sports games']",To try new and unique craft beers,Somewhat important – I like a balance of new and familiar elements,4,3,3,3,4,1,"Maybe, if the event aligns with my interests",Add more games or activities,"Yes, I haven't attended yet but I'm interested.","['Special promotions or discounts during the event', 'Convenience of timing', 'Convenience of location']",Very Important,Everytime,Very Likely,"['Warm-prepared Snacks', 'Sweets']",No,No,A lot,Slightly interested,Ability to reserve tables or event tickets,Affluent Locals,,,,
Female,Yes,60,At least once a year,Between 10 and 30 minutes,4,3,3,4,"['Pool table', 'Karaoke available', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,3,2,4,6,5,7,8,"['Not having someone to go with', 'Poor customer service', 'No rewards program', 'No music']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Outdoor seating', 'Live music', 'Happy hour specials']",To socialize with friends/family,Important – I prefer a familiar experience,4,4,3,4,4,1,"Maybe, if the event aligns with my interests",Host themed nights or special tastings,"Yes, I haven't attended yet but I'm interested.","['Atmosphere and venue ambiance', 'Convenience of timing']",Slightly important,Rarely,Unlikely,['Warm-prepared Snacks'],Maybe,No,A moderate amount,Moderately interested,Ability to reserve tables or event tickets,Summer Tourists,,,,
Male,Yes,63,At least once a month,Less than 10 minutes away,3,3,3,3,"['Pool table', 'Darts', 'Easy to socialize with other customers']",1,5,3,2,6,4,8,7,['Poor customer service'],"['Good music playing', 'Joining a game', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To relax and unwind,Somewhat important – I like a balance of new and familiar elements,3,3,2,3,3,2,"No, I attend for other reasons",Offer a wider selection of craft beers,"No, I'm not interested.",,Extremely Important,Rarely,Unlikely,"['Sweets', 'Pre-packaged Snacks']",Maybe,No,A great deal,Not interested,Information about seasonal or limited edition brews,Day Trippers,,,"['Lack of interest', 'Inconvenient location']",
Male,Yes,42,At least once a year,More than 30 minutes away,4,3,3,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers']",3,2,1,4,6,5,7,8,"['Poor customer service', 'No rewards program', 'No music', 'No food']",['Playing competitive trivia'],"['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Outdoor seating', 'Live music']",To socialize with friends/family,Somewhat important – I like a balance of new and familiar elements,4,4,4,4,3,1,"Yes, I value community-focused experiences",Host themed nights or special tastings,"Yes, I haven't attended yet but I'm interested.","['High quality of drinks', 'High quality of food', 'Quality of live music performances', 'High quality of drinks']",Not at all important,Most of the time,Very Likely,['Pre-packaged Snacks'],Maybe,No,A lot,Not interested,Ability to reserve tables or event tickets,Summer Tourists,,,,
Female,Yes,31,At least once a week,Between 10 and 30 minutes,4,4,4,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Loyalty program']",1,2,3,4,6,5,8,7,"['Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program']","['Good music playing', 'Playing competitive trivia', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Outdoor seating', 'Live music', 'Happy hour specials']",To socialize with friends/family,Not important – I prefer a unique experience each time,4,4,3,4,4,1,"No, I attend for other reasons",Offer loyalty rewards for frequent customers,"No, I'm not interested.",,Moderately Important,Everytime,Neutral,"['Cold Bites', 'Sweets', 'Warm-prepared Snacks', 'Pre-packaged Snacks']",No,No,A great deal,Moderately interested,Information about seasonal or limited edition brews,Young Professionals,,,['Unfamiliarity with the performers or event lineup'],
Female,Yes,59,At least once a year,Less than 10 minutes away,3,3,4,4,"['Pool table', 'Karaoke available', 'Darts', 'Loyalty program']",1,2,3,4,5,6,8,7,['No music'],"['Being introduced by someone else', 'Good music playing', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To meet new people,Important – I prefer a familiar experience,4,3,3,3,4,1,"No, I attend for other reasons",Host themed nights or special tastings,"Yes, I haven't attended yet but I'm interested.","['Quality of live music performances', 'Social experience and opportunity to meet new people']",Moderately Important,Sometimes,Likely,"['Sweets', 'Warm-prepared Snacks']",Maybe,No,A great deal,Not interested,Updates on specials or happy hours,Affluent Locals,,,,
Female,Yes,28,At least once a month,Less than 10 minutes away,4,3,4,4,"['Pool table', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program']",2,1,3,4,6,5,8,7,"['Poor customer service', 'No music']","['Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Outdoor seating', 'Live music', 'Happy hour specials']",To relax and unwind,Not important – I prefer a unique experience each time,5,4,2,4,5,1,"No, I attend for other reasons",Offer more unique or experimental brews,"Yes, I haven't attended yet but I'm interested.","['Atmosphere and venue ambiance', 'Variety of performers', 'Variety of performers', 'Social experience and opportunity to meet new people', 'Special promotions or discounts during the event']",Slightly important,Sometimes,Neutral,['Pre-packaged Snacks'],No,No,A lot,Moderately interested,Wait time estimates for busy periods,Young Professionals,,,,
Male,Yes,55,At least once a month,More than 30 minutes away,3,3,4,4,"['Pool table', 'Card games', 'Friendly staff', 'Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,2,3,4,5,6,8,7,"['No rewards program', 'No music', 'No food']","['Being introduced by someone else', 'Group activities to do with others present']","['Friendliness of staff', 'Games available', 'Outdoor seating', 'Live music', 'Happy hour specials']",To enjoy a familiar and consistent experience,Not important – I prefer a unique experience each time,3,3,3,3,4,2,"No, I attend for other reasons",Have live music more often,"Yes, I haven't attended yet but I'm interested.","['Special promotions or discounts during the event', 'Being a fan of the band or specific artists performing', 'Quality of live music performances']",Moderately Important,Sometimes,Very Unlikely,"['Warm-prepared Snacks', 'Sweets', 'Cold Bites', 'Pre-packaged Snacks']",No,No,A moderate amount,Moderately interested,Information about upcoming events and special releases,Affluent Locals,,,,
Female,Yes,39,At least once a year,More than 30 minutes away,3,3,3,3,"['Pool table', 'Karaoke available', 'Darts', 'Friendly staff', 'Loyalty program']",1,4,5,2,6,3,8,7,"['Difficult to talk to others in the taproom', 'Poor customer service', 'No rewards program', 'No music', 'No food']","['Good music playing', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Games available', 'Variety of food options', 'Outdoor seating', 'Live music', 'Happy hour specials']",To socialize with friends/family,Not important – I prefer a unique experience each time,3,3,3,3,3,1,"No, I attend for other reasons",Offer loyalty rewards for frequent customers,"No, I'm not interested.",,Very Important,Sometimes,Likely,['Pre-packaged Snacks'],No,No,A little,Slightly interested,Information about seasonal or limited edition brews,Day Trippers,,,"['Inconvenient location', 'Lack of interest', 'Limited transportation']",
Female,Yes,78,At least once a week,Less than 10 minutes away,3,3,3,3,"['Easy to socialize with other customers', 'Loyalty program', 'Easy to network with other professionals']",1,3,4,2,7,6,8,5,"['Poor customer service', 'No rewards program', 'No food']","['Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Friendliness of staff', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Happy hour specials']",To socialize with friends/family,Important – I prefer a familiar experience,3,2,4,3,3,2,"Maybe, if the event aligns with my interests",Create a quieter environment for conversation,Yes; I have attended before,"['Convenience of timing', 'High quality of food', 'Social experience and opportunity to meet new people', 'Convenience of timing', 'High quality of food']",Slightly important,Sometimes,Very Likely,"['Pre-packaged Snacks', 'Sweets', 'Cold Bites', 'Warm-prepared Snacks']",No,No,A great deal,Not interested,Wait time estimates for busy periods,Retirees,Excellent,,,
Male,Yes,38,At least once a month,Between 10 and 30 minutes,4,3,3,4,"['Pool table', 'Card games', 'Karaoke available', 'Darts', 'Friendly staff', 'Easy to socialize with other customers', 'Easy to network with other professionals']",2,1,3,4,6,5,8,7,"['Poor customer service', 'No music']","['Being introduced by someone else', 'Good music playing', 'Joining a game', 'Playing competitive trivia', 'Friendliness of staff', 'Group activities to do with others present']","['Games available', 'Easy to socialize with others', 'Variety of food options', 'Outdoor seating', 'Live music']",To enjoy a familiar and consistent experience,Somewhat important – I like a balance of new and familiar elements,4,4,3,4,4,1,"Maybe, if the event aligns with my interests",Add more games or activities,Yes; I have attended before,"['Social experience and opportunity to meet new people', 'High quality of drinks', 'High quality of food', 'Special promotions or discounts during the event', 'Atmosphere and venue ambiance']",Very Important,Sometimes,Very Unlikely,"['Warm-prepared Snacks', 'Pre-packaged Snacks', 'Cold Bites']",No,Yes,A lot,Extremely interested,Information about seasonal or limited edition brews,Summer Tourists,Excellent,Somewhat dissatisfied,,
