StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,RP1a,RP1a_9_TEXT,RP1b_1,RP1b_2,RP1b_3,RP1b_4,RP1b_5,RP1b_6,RP1b_7,RP1b_8,RP1c,RP1d,RP1e,Q2a,Q2a_7_TEXT,Q2b,Q2c_1,Q2c_2,Q2c_3,Q2c_4,Q2c_5,Q2c_6,Q2d,Q2e,Q3a,Q3b,Q3c,Q3c_11_TEXT,Q3d,Q3d_11_TEXT,Q3e,Q3e_9_TEXT,Q4a,Q4b,Q4c,Q4d,Q4e,Q5a,Q5b,Q5c,Q5d,Q5e
2025-04-12 13:02:54,2025-04-12 13:05:52,IP Address,73.167.221.218,100,178,True,2025-04-12 13:05:53,R_3HFkO9CTwyVWb9r,,,,,42.2904,-71.0712,anonymous,EN,Male,Yes,24,At least once a year,Between 10 and 30 minutes,Slightly Agree,Strongly Agree,Neither agree nor disagree,Slightly Agree,"Pool table,Darts,Easy to socialize with other customers,Easy to network with other professionals",,4,1,2,7,3,6,5,8,"Difficult to talk to others in the taproom,Poor customer service","Being introduced by someone else,Joining a game,Group activities to do with others present","Games available,Easy to socialize with others,Happy hour specials,Large TV screens for sports games",To meet new people,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,,Somewhat unlikely,Neither likely nor unlikely,Extremely unlikely,Somewhat likely,"Maybe, if the event aligns with my interests",,"No, I’m not interested.",,,,,,"Scheduling conflicts (e.g., work, family commitments),The cover charge is too expensive,Limited transportation",,Slightly important,Sometimes,Unlikely,"Pre-packaged Snacks (e.g., chips, nuts)",Yes,No,A moderate amount,Moderately interested,,
2025-04-12 13:19:38,2025-04-12 13:30:21,IP Address,71.232.226.25,100,643,True,2025-04-12 13:30:21,R_3doJQKBgxovJK4L,,,,,42.3162,-71.1198,anonymous,EN,Male,Yes,27,At least once a month,Between 10 and 30 minutes,Strongly Disagree,Neither agree nor disagree,Strongly Agree,Slightly Disagree,"Karaoke available,Friendly staff,Loyalty program (e.g., personalized rewards, discounts, etc.)",,2,1,5,6,7,3,8,4,"Poor customer service,No rewards program,No music,No food",Friendliness of staff,"Friendliness of staff,Variety of food options,Outdoor seating,Live music,Happy hour specials,Large TV screens for sports games",To try new and unique craft beers,,Important – I prefer a familiar experience,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Extremely likely,Somewhat likely,Extremely likely,"Maybe, if the event aligns with my interests",free stuff,"Yes, I haven’t attended yet but I’m interested.",,"Atmosphere and venue ambiance,High quality of drinks,High quality of food",,,,,,Extremely Important,Most of the time,Likely,"Pre-packaged Snacks (e.g., chips, nuts),Warm-prepared Snacks (e.g., popcorn, soft pretzels),Cold Bites (e.g., cheese, cured meats)",Yes,Yes,A little,Slightly interested,Somewhat dissatisfied,
2025-04-12 13:51:52,2025-04-12 14:04:33,IP Address,24.62.61.24,100,760,True,2025-04-12 14:04:34,R_3n9kPLI8RBJIwCB,,,,,42.3474,-71.1582,anonymous,EN,Female,Yes,30,At least once a month,Between 10 and 30 minutes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Pool table,Card games,Karaoke available,Friendly staff,Easy to socialize with other customers,Easy to network with other professionals",,3,6,1,8,4,2,5,7,Not having someone to go with,"Joining a game,Playing competitive trivia","Games available,Variety of food options,Live music",To relax and unwind,,Somewhat important – I like a balance of new and familiar elements,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,"Maybe, if the event aligns with my interests",,"Yes, I haven’t attended yet but I’m interested.",,"Quality of live music performances,High quality of food,Being a fan of the band or specific artists performing",,,,,,Very Important,Most of the time,Likely,"Pre-packaged Snacks (e.g., chips, nuts),Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate),Cold Bites (e.g., cheese, cured meats)",Yes,Yes,A lot,Very interested,Somewhat satisfied,
2025-04-12 14:48:47,2025-04-12 14:49:10,IP Address,104.28.39.32,100,22,True,2025-04-12 14:49:10,R_6g1s7kRBkS5swFh,,,,,42.3574,-71.0618,anonymous,EN,Female,Yes,23,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-12 14:48:53,2025-04-12 14:55:41,IP Address,108.145.161.59,100,407,True,2025-04-12 14:55:42,R_1qxT9Zaw6iGg6lO,,,,,40.7653,-73.9589,anonymous,EN,Female,Yes,22,At least once a month,Less than 10 minutes away,Strongly Agree,Slightly Agree,Neither agree nor disagree,Strongly Agree,"Friendly staff,Easy to socialize with other customers",,3,1,2,7,5,4,8,6,Not having someone to go with,Being introduced by someone else,"Variety of food options,Outdoor seating,Live music,Happy hour specials",To socialize with friends/family,,Important – I prefer a familiar experience,Extremely unlikely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,"Yes, I value community-focused experiences",,Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,Special promotions or discounts during the event,Convenience of location,Convenience of timing,Being a fan of the band or specific artists performing",,,,,,Not at all important,Rarely,Neutral,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Maybe,No,Not at all,Not interested,,
2025-04-12 14:54:05,2025-04-12 14:57:44,IP Address,108.49.181.57,100,218,True,2025-04-12 14:57:44,R_6FbkEwQPUBgT8eJ,,,,,42.4539,-71.1414,anonymous,EN,Female,Yes,24,At least once a month,Between 10 and 30 minutes,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Friendly staff,,3,1,2,4,7,5,8,6,"Not having someone to go with,Poor customer service,No music","Being introduced by someone else,Good music playing,Playing competitive trivia","Easy to socialize with others,Variety of food options,Outdoor seating,Live music,Happy hour specials",To try new and unique craft beers,,Somewhat important – I like a balance of new and familiar elements,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Extremely likely,"Maybe, if the event aligns with my interests",,Yes; I have attended before,Good,"Atmosphere and venue ambiance,High quality of drinks,High quality of food,Special promotions or discounts during the event,Convenience of location,Convenience of timing",,,,,,Moderately Important,Most of the time,Very Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Yes,No,Not at all,Not interested,,
2025-04-12 14:59:49,2025-04-12 15:00:43,IP Address,146.115.81.90,100,54,True,2025-04-12 15:00:45,R_1Qzi6MMmeaht6RM,,,,,42.3634,-71.0713,anonymous,EN,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-12 14:50:43,2025-04-12 15:02:56,IP Address,67.80.86.156,100,733,True,2025-04-12 15:02:57,R_7rC6R25Uq3ed08U,,,,,41.0641,-73.548,anonymous,EN,Male,Yes,23,At least once a year,Less than 10 minutes away,Slightly Disagree,Strongly Disagree,Slightly Agree,Slightly Agree,"Pool table,Darts,Friendly staff,Other",Arcade games,2,1,3,8,6,4,5,7,"Not having someone to go with,Difficult to talk to others in the taproom,Poor customer service","Being introduced by someone else,Good music playing,Playing competitive trivia,Friendliness of staff","Friendliness of staff,Games available,Variety of food options,Outdoor seating,Live music,Happy hour specials,Large TV screens for sports games",Other (please specify):,Get hammered,Somewhat important – I like a balance of new and familiar elements,Extremely likely,Somewhat unlikely,Somewhat unlikely,Neither likely nor unlikely,Somewhat likely,Extremely likely,"Maybe, if the event aligns with my interests","They could have a 3 pitcher challenge where if you can drink 3 full pitchers of beer in 6 minutes your table drinks for free. ",Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,High quality of drinks,High quality of food,Convenience of location,Convenience of timing,Being a fan of the band or specific artists performing",,,,,,Moderately Important,Rarely,Neutral,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Maybe,No,Not at all,Not interested,,The app referring to the app user as “My Alcohol Overlord”
2025-04-12 14:56:17,2025-04-12 15:03:33,IP Address,104.28.39.31,100,436,True,2025-04-12 15:03:34,R_1UXjDtmPE0og12z,,,,,42.3574,-71.0618,anonymous,EN,Female,Yes,58,At least once a week,Less than 10 minutes away,Strongly Agree,Neither agree nor disagree,Strongly Agree,Slightly Agree,"Friendly staff,Easy to socialize with other customers",,2,5,1,3,4,6,7,8,"Not having someone to go with,Difficult to talk to others in the taproom,Poor customer service,No music,No food","Good music playing,Friendliness of staff","Friendliness of staff,Easy to socialize with others,Variety of food options,Outdoor seating,Live music",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Extremely unlikely,Extremely unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,"Maybe, if the event aligns with my interests",Variety,Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,High quality of drinks,High quality of food,Convenience of location,Being a fan of the band or specific artists performing",,,,,,Very Important,Most of the time,Likely,"Cold Bites (e.g., cheese, cured meats)",Yes,No,A little,Slightly interested,,Information about the different products
2025-04-12 15:00:44,2025-04-12 15:06:38,IP Address,71.233.184.168,100,353,True,2025-04-12 15:06:38,R_1ml8C9vxOgRq3bu,,,,,42.2904,-71.0712,anonymous,EN,Prefer not to say,Yes,22,At least once a month,Less than 10 minutes away,Slightly Agree,Neither agree nor disagree,Strongly Disagree,Slightly Agree,"Pool table,Card games,Friendly staff,Easy to socialize with other customers",,6,1,2,5,4,3,8,7,"Not having someone to go with,Poor customer service,No music,No food","Being introduced by someone else,Good music playing,Friendliness of staff","Games available,Variety of food options,Live music",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat likely,Extremely likely,"Maybe, if the event aligns with my interests",Comfortable and spacious seating,Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,Social experience and opportunity to meet new people,Convenience of location,Being a fan of the band or specific artists performing",,,,,,Very Important,Most of the time,Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate)",Yes,No,Not at all,Not interested,,unsure
2025-04-12 15:07:49,2025-04-12 15:15:54,IP Address,120.126.62.154,100,485,True,2025-04-12 15:15:54,R_3NPRKJOvviArgSc,,,,,24.144,120.6844,anonymous,EN,Female,Yes,23,At least once a month,Between 10 and 30 minutes,Neither agree nor disagree,Neither agree nor disagree,Slightly Disagree,Slightly Agree,"Card games,Friendly staff",,4,1,2,6,3,8,5,7,"Not having someone to go with,Poor customer service,No music,No food","Good music playing,Joining a game,Friendliness of staff","Friendliness of staff,Live music",To enjoy a familiar and consistent experience,,Somewhat important – I like a balance of new and familiar elements,Somewhat unlikely,Extremely unlikely,Extremely unlikely,Extremely unlikely,Somewhat likely,Extremely likely,"No, I attend for other reasons",,Yes; I have attended before,Good,"High quality of drinks,Special promotions or discounts during the event,Convenience of location,Convenience of timing",,,,,,Extremely Important,Everytime,Very Likely,"Pre-packaged Snacks (e.g., chips, nuts),Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate),Cold Bites (e.g., cheese, cured meats)",Maybe,No,A moderate amount,Slightly interested,,
2025-04-12 14:58:31,2025-04-12 15:24:59,IP Address,146.75.253.250,100,1587,True,2025-04-12 15:24:59,R_3YeBNU4CMQkJJDj,,,,,42.1502,-72.6078,anonymous,EN,Female,Yes,24,At least once a week,Less than 10 minutes away,Strongly Agree,Slightly Agree,Slightly Agree,Strongly Agree,"Friendly staff,Easy to socialize with other customers,Other","Cool vibe to the place, live music",3,4,1,6,5,2,7,8,"Not having someone to go with,Difficult to talk to others in the taproom,No music","Being introduced by someone else,Good music playing,Joining a game,Playing competitive trivia,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Easy to socialize with others,Variety of food options,Live music",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Extremely likely,"Maybe, if the event aligns with my interests",live music and good food,"Yes, I haven’t attended yet but I’m interested.",,"Atmosphere and venue ambiance,Quality of live music performances,High quality of drinks,High quality of food,Social experience and opportunity to meet new people,Special promotions or discounts during the event,Convenience of location,Being a fan of the band or specific artists performing",,,,,,Moderately Important,Sometimes,Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate)",Maybe,No,A little,Not interested,,what drinks to try?
2025-04-12 15:45:56,2025-04-12 15:53:28,IP Address,73.100.167.35,100,452,True,2025-04-12 15:53:29,R_6JxVHa4HvXed9rl,,,,,42.2904,-71.0712,anonymous,EN,Male,Yes,28,At least once a month,Less than 10 minutes away,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,"Pool table,Card games,Karaoke available,Darts,Friendly staff,Easy to socialize with other customers,Loyalty program (e.g., personalized rewards, discounts, etc.),Easy to network with other professionals",,1,2,3,4,5,7,6,8,"No rewards program,No music,No food","Being introduced by someone else,Good music playing,Joining a game,Group activities to do with others present","Games available,Easy to socialize with others,Live music,Happy hour specials",To relax and unwind,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Somewhat likely,"Yes, I value community-focused experiences","good food, music and cheap alcohol",Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,High quality of drinks,High quality of food,Convenience of location",,,,,,Extremely Important,Everytime,Very Likely,"Pre-packaged Snacks (e.g., chips, nuts),Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate),Cold Bites (e.g., cheese, cured meats)",Yes,No,A lot,Not interested,,robots
2025-04-12 16:00:03,2025-04-12 16:00:37,IP Address,96.233.41.239,100,33,True,2025-04-12 16:00:37,R_32s14Ki07sJhzqC,,,,,42.5275,-71.1032,anonymous,EN,Female,Yes,23,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-12 16:04:20,2025-04-12 16:06:44,IP Address,73.167.221.192,100,143,True,2025-04-12 16:06:45,R_746juJnqayJjqUm,,,,,42.2904,-71.0712,anonymous,EN,Male,Yes,24,At least once a month,More than 30 minutes away,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,"Pool table,Card games,Karaoke available,Friendly staff,Easy to socialize with other customers,Loyalty program (e.g., personalized rewards, discounts, etc.)",,1,2,3,4,5,6,7,8,"No rewards program,No music,No food","Being introduced by someone else,Good music playing,Joining a game","Friendliness of staff,Games available,Easy to socialize with others,Variety of food options,Outdoor seating",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,"Yes, I value community-focused experiences",Nothing,Yes; I have attended before,Excellent,"Atmosphere and venue ambiance,Quality of live music performances,High quality of drinks,High quality of food",,,,,,Moderately Important,Most of the time,Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate)",Yes,Yes,Not at all,Not interested,Hated it,Okokok
2025-04-12 16:33:52,2025-04-12 16:38:20,IP Address,185.69.144.122,100,268,True,2025-04-12 16:38:21,R_63rOk1ffshJrCJY,,,,,51.4964,-0.1224,anonymous,EN,Female,Yes,25,At least once a month,Between 10 and 30 minutes,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Pool table,,4,1,2,6,7,3,8,5,Not having someone to go with,"Being introduced by someone else,Good music playing,Joining a game,Playing competitive trivia,Group activities to do with others present","Games available,Outdoor seating,Live music,Happy hour specials",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Somewhat likely,Somewhat likely,Extremely unlikely,Extremely unlikely,Somewhat likely,"Maybe, if the event aligns with my interests",,Yes; I have attended before,Excellent,"Atmosphere and venue ambiance,Quality of live music performances",,,,,,Slightly important,Sometimes,Likely,"Pre-packaged Snacks (e.g., chips, nuts),Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate)",Yes,No,A little,Not interested,,
2025-04-12 16:40:39,2025-04-12 16:41:05,IP Address,66.30.218.57,100,26,True,2025-04-12 16:41:05,R_3meEvyWdc663DO0,,,,,42.428,-71.0618,anonymous,EN,Male,Yes,24,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-12 17:24:43,2025-04-12 17:26:32,IP Address,155.33.132.37,100,109,True,2025-04-12 17:26:33,R_78CYQHPConTZ6KK,,,,,42.3253,-71.0951,anonymous,EN,Male,Yes,26,At least once a year,Less than 10 minutes away,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Karaoke available,,4,1,2,3,5,6,7,8,Poor customer service,Good music playing,"Easy to socialize with others,Variety of food options",To meet new people,,Important – I prefer a familiar experience,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,"Maybe, if the event aligns with my interests",,"Yes, I haven’t attended yet but I’m interested.",,Variety of performers,,,,,,Moderately Important,Sometimes,Likely,"Sweets (e.g., candies, cookies, chocolate)",Yes,Yes,A little,Very interested,Somewhat satisfied,
2025-04-12 17:46:48,2025-04-12 17:47:45,IP Address,186.154.38.237,100,56,True,2025-04-12 17:47:45,R_6e8HIOt3ETcaBVv,,,,,4.6457,-74.0901,anonymous,EN,Female,Yes,22,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-12 17:47:03,2025-04-12 17:56:31,IP Address,73.119.100.54,100,568,True,2025-04-12 17:56:32,R_7GyulBJbKi76kwj,,,,,42.2783,-71.1593,anonymous,EN,Male,Yes,23,At least once a month,Between 10 and 30 minutes,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Strongly Agree,"Card games,Friendly staff,Easy to socialize with other customers,Other",Live music,4,2,3,6,5,1,7,8,"Poor customer service,No music,No food","Being introduced by someone else,Good music playing,Joining a game,Friendliness of staff","Games available,Variety of food options,Live music,Happy hour specials,Large TV screens for sports games",To try new and unique craft beers,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Extremely likely,Extremely likely,"Yes, I value community-focused experiences",New crafted beers,Yes; I have attended before,Excellent,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,High quality of drinks,High quality of food,Special promotions or discounts during the event,Convenience of location",,,,,,Extremely Important,Everytime,Very Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Yes,Yes,A moderate amount,Very interested,Neutral,
2025-04-12 17:50:59,2025-04-12 17:57:52,IP Address,73.119.100.54,100,413,True,2025-04-12 17:57:53,R_1YP8qx93MAsGM8I,,,,,42.2783,-71.1593,anonymous,EN,Female,Yes,22,At least once a month,More than 30 minutes away,Neither agree nor disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Friendly staff,,1,2,4,6,7,3,5,8,"Not having someone to go with,Difficult to talk to others in the taproom,Poor customer service,No music,No food","Good music playing,Joining a game,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Easy to socialize with others,Variety of food options,Outdoor seating,Live music,Happy hour specials,Large TV screens for sports games",To try new and unique craft beers,,Somewhat important – I like a balance of new and familiar elements,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat likely,Extremely likely,Somewhat likely,"Maybe, if the event aligns with my interests","Maybe introduce seasonal specialties ",Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,High quality of drinks,High quality of food,Special promotions or discounts during the event,Being a fan of the band or specific artists performing",,,,,,Extremely Important,Everytime,Very Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Maybe,Yes,A little,Moderately interested,Neutral,
2025-04-12 20:10:45,2025-04-12 20:16:54,IP Address,73.219.82.141,100,368,True,2025-04-12 20:16:54,R_5O2ebNL52MaBse8,,,,,43.0729,-70.8052,anonymous,EN,Female,Yes,28,At least once a year,Less than 10 minutes away,Slightly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,"Pool table,Card games,Friendly staff,Easy to socialize with other customers,Other",,2,3,4,5,7,1,8,6,"Not having someone to go with,Poor customer service,No food","Joining a game,Playing competitive trivia,Friendliness of staff,Group activities to do with others present","Games available,Variety of food options,Outdoor seating,Happy hour specials,Large TV screens for sports games",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,"Yes, I value community-focused experiences",,Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers",,,,,,Very Important,Most of the time,Neutral,"Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate)",Yes,No,A little,Moderately interested,,Everything that a website contains
2025-04-12 22:24:08,2025-04-12 22:30:31,IP Address,66.30.244.110,100,383,True,2025-04-12 22:30:32,R_7q7spbZyeN34a41,,,,,42.3252,-71.0951,anonymous,EN,Female,Yes,23,At least once a year,Less than 10 minutes away,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,"Friendly staff,Easy to socialize with other customers",,2,3,4,6,1,5,8,7,"Not having someone to go with,No music","Good music playing,Joining a game","Easy to socialize with others,Variety of food options,Happy hour specials,Large TV screens for sports games",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Somewhat unlikely,Neither likely nor unlikely,Extremely unlikely,Somewhat likely,Somewhat likely,Somewhat likely,"Maybe, if the event aligns with my interests",,"Yes, I haven’t attended yet but I’m interested.",,"Atmosphere and venue ambiance,Quality of live music performances",,,,,,Slightly important,Never,Neutral,"Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate)",Yes,No,A moderate amount,Slightly interested,,
2025-04-12 22:49:00,2025-04-12 22:56:23,IP Address,209.143.32.189,100,442,True,2025-04-12 22:56:23,R_5esLPX7umiBAnrX,,,,,41.1208,-83.1733,anonymous,EN,Female,Yes,25,At least once a year,Less than 10 minutes away,Slightly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,"Karaoke available,Darts,Friendly staff,Easy to socialize with other customers",,1,2,3,5,6,4,7,8,"Not having someone to go with,Difficult to talk to others in the taproom,Poor customer service,No music","Being introduced by someone else,Good music playing,Joining a game,Playing competitive trivia,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Easy to socialize with others,Live music",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Extremely likely,Extremely likely,"Maybe, if the event aligns with my interests","Offer a unique experience that other breweries in the area don’t ",Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,Social experience and opportunity to meet new people,Convenience of location",,,,,,Moderately Important,Sometimes,Neutral,"Pre-packaged Snacks (e.g., chips, nuts),Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate)",Maybe,No,A moderate amount,Slightly interested,,Being able to give suggestions based on what I like/don’t like
2025-04-12 23:16:25,2025-04-12 23:20:35,IP Address,108.20.115.148,100,249,True,2025-04-12 23:20:35,R_5DHdzMNGiTA9Vwg,,,,,42.4539,-71.1414,anonymous,EN,Female,Yes,22,At least once a week,Less than 10 minutes away,Slightly Agree,Neither agree nor disagree,Slightly Disagree,Slightly Agree,"Pool table,Friendly staff",,5,1,2,7,3,4,6,8,No music,Good music playing,"Easy to socialize with others,Live music","To attend special events (e.g., festivals, themed nights)",,Not important – I prefer a unique experience each time,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Extremely likely,"Yes, I value community-focused experiences",,Yes; I have attended before,Good,"Quality of live music performances,Social experience and opportunity to meet new people",,,,,,Moderately Important,Rarely,Likely,"Cold Bites (e.g., cheese, cured meats)",Yes,No,A lot,Extremely interested,,
2025-04-13 00:25:13,2025-04-13 00:30:22,IP Address,71.234.238.127,100,308,True,2025-04-13 00:30:22,R_5C1m8egaE7VmMZp,,,,,42.2904,-71.0712,anonymous,EN,Female,Yes,26,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-13 13:26:14,2025-04-13 13:31:11,IP Address,73.242.77.49,100,297,True,2025-04-13 13:31:12,R_6J28N15svDnjaA7,,,,,45.0702,-93.4556,anonymous,EN,Female,Yes,Old,At least once a month,More than 30 minutes away,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Friendly staff,Easy to socialize with other customers,Easy to network with other professionals",,3,5,6,2,1,7,4,8,"Not having someone to go with,Difficult to talk to others in the taproom,Poor customer service","Being introduced by someone else,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Easy to socialize with others,Variety of food options,Outdoor seating,Happy hour specials",To enjoy a familiar and consistent experience,,Important – I prefer a familiar experience,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Extremely likely,"Yes, I value community-focused experiences",Getting to know the owners,"No, I’m not interested.",,,,,,Poor past experiences with similar events,,Moderately Important,Rarely,Neutral,"Cold Bites (e.g., cheese, cured meats)",Yes,Yes,A lot,Extremely interested,Very satisfied,Recomendations
2025-04-13 13:42:50,2025-04-13 13:52:37,IP Address,71.248.169.41,100,586,True,2025-04-13 13:52:38,R_7trFOIOyVMpioN0,,,,,42.2441,-71.1688,anonymous,EN,Female,Yes,26,At least once a month,Between 10 and 30 minutes,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,"Pool table,Karaoke available,Friendly staff,Easy to network with other professionals",,3,2,1,5,6,7,4,8,"Not having someone to go with,Difficult to talk to others in the taproom,Poor customer service,No music,No food","Being introduced by someone else,Good music playing,Joining a game,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Easy to socialize with others,Variety of food options,Live music,Happy hour specials,Large TV screens for sports games",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,"Maybe, if the event aligns with my interests",Environment,Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,High quality of drinks,High quality of food,Social experience and opportunity to meet new people,Special promotions or discounts during the event,Convenience of location,Convenience of timing",,,,,,Very Important,Most of the time,Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels),Cold Bites (e.g., cheese, cured meats)",Yes,Yes,A moderate amount,Very interested,Somewhat satisfied,a brief of everything
2025-04-13 18:06:27,2025-04-13 18:11:20,IP Address,142.105.196.105,100,293,True,2025-04-13 18:11:20,R_731zYmrZBLKnkcc,,,,,43.6597,-70.2868,anonymous,EN,Male,Yes,33,At least once a month,Less than 10 minutes away,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,"Friendly staff,Easy to socialize with other customers",,3,1,2,4,6,5,8,7,No music,"Being introduced by someone else,Good music playing,Friendliness of staff","Friendliness of staff,Easy to socialize with others,Live music,Happy hour specials,Large TV screens for sports games",To socialize with friends/family,,Important – I prefer a familiar experience,Somewhat likely,Extremely likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,"Maybe, if the event aligns with my interests","Vary their music selection ",Yes; I have attended before,Excellent,"Atmosphere and venue ambiance,Quality of live music performances,High quality of drinks,Social experience and opportunity to meet new people",,,,,,Moderately Important,Most of the time,Likely,"Pre-packaged Snacks (e.g., chips, nuts)",Yes,No,Not at all,Slightly interested,,Ability to predict the best drinks
